source,lat,lon,date,score,status,note
Bear Spring - Fisher,34.03787,-111.47654,2017-05-06,0.6,Quart per minute,"Full spring, lots of leaking around the base."
Bear Spring - Fisher,34.03787,-111.47654,2017-05-20,0.6,Quart per minute,
Bee Tree Tanks,34.31117,-111.64378,2018-12-05,0.4,26-50% full,Super muddy. A gang of elk were going to town in it.
Big Kahuna Falls - Mazatzal Wilderness,34.08716,-111.45293,2013-03-16,0.6,Medium flow,
Big Kahuna Falls - Mazatzal Wilderness,34.08716,-111.45293,2013-03-16,0.8,Heavy flow,
Big Kahuna Falls - Mazatzal Wilderness,34.08716,-111.45293,2013-03-24,0.6,Medium flow,
Big Kahuna Falls - Mazatzal Wilderness,34.08716,-111.45293,2013-04-07,0.6,Medium flow,
Big Kahuna Falls - Mazatzal Wilderness,34.08716,-111.45293,2013-04-20,0.6,Medium flow,
Big Kahuna Falls - Mazatzal Wilderness,34.08716,-111.45293,2013-05-13,0.2,Pools to trickle,
Big Kahuna Falls - Mazatzal Wilderness,34.08716,-111.45293,2013-10-05,0.2,Pools to trickle,
Big Kahuna Falls - Mazatzal Wilderness,34.08716,-111.45293,2014-03-08,0.4,Light flow,
Big Kahuna Falls - Mazatzal Wilderness,34.08716,-111.45293,2014-11-27,0.2,Pools to trickle,
Big Kahuna Falls - Mazatzal Wilderness,34.08716,-111.45293,2015-01-03,0.4,Light flow,
Big Kahuna Falls - Mazatzal Wilderness,34.08716,-111.45293,2015-02-28,0.8,Heavy flow,
Big Kahuna Falls - Mazatzal Wilderness,34.08716,-111.45293,2015-03-14,0.4,Light flow,
Big Kahuna Falls - Mazatzal Wilderness,34.08716,-111.45293,2015-03-14,0.6,Medium flow,
Big Kahuna Falls - Mazatzal Wilderness,34.08716,-111.45293,2015-04-12,0.6,Medium flow,
Big Kahuna Falls - Mazatzal Wilderness,34.08716,-111.45293,2015-04-20,0.4,Light flow,
Big Kahuna Falls - Mazatzal Wilderness,34.08716,-111.45293,2015-05-16,0.8,Heavy flow,
Big Kahuna Falls - Mazatzal Wilderness,34.08716,-111.45293,2015-05-31,0.2,Pools to trickle,
Big Kahuna Falls - Mazatzal Wilderness,34.08716,-111.45293,2015-06-13,0.4,Light flow,
Big Kahuna Falls - Mazatzal Wilderness,34.08716,-111.45293,2015-10-25,0.2,Pools to trickle,
Big Kahuna Falls - Mazatzal Wilderness,34.08716,-111.45293,2015-11-01,0.2,Pools to trickle,
Big Kahuna Falls - Mazatzal Wilderness,34.08716,-111.45293,2015-12-19,0.4,Light flow,
Big Kahuna Falls - Mazatzal Wilderness,34.08716,-111.45293,2016-01-31,0.8,Heavy flow,
Big Kahuna Falls - Mazatzal Wilderness,34.08716,-111.45293,2016-02-16,0.8,Heavy flow,
Big Kahuna Falls - Mazatzal Wilderness,34.08716,-111.45293,2016-03-18,0.4,Light flow,
Big Kahuna Falls - Mazatzal Wilderness,34.08716,-111.45293,2016-03-18,0.4,Light flow,
